500 2099.22108981 1459.03486489 766.78795094 168.31843322 1500.0 1300.0 0.376991118431
1000 2544.60084126 1801.73912403 1174.24341734 168.695890557 1600.0 1400.0 0.753982236862
1500 3164.29883393 2529.28840639 1678.81748724 168.979839367 2100.0 2000.0 1.00530964915
2000 3796.66378101 3064.20869451 2174.79526365 168.2583538 2500.0 2100.0 1.50796447372
2500 4426.36311585 3683.29994334 2685.33729449 168.5445115 2800.0 2600.0 1.88495559215
3000 5042.64120583 4110.62822482 3188.01806657 168.139193171 2900.0 2700.0 2.63893782902
3500 5660.8286892 4736.78405453 3691.83157462 168.262132939 3400.0 2900.0 3.14159265359
4000 6265.09175351 5273.0705948 4199.68452121 168.322041292 3600.0 3200.0 3.76991118431
4500 6866.47364698 5911.6639935 4707.89910266 168.027641067 4000.0 3600.0 4.14690230274
5000 7463.4088823 6426.26267946 5213.69856911 168.201866547 4200.0 3800.0 4.9008845396
5500 8065.69106232 7065.42098334 5721.0946586 168.179321602 4600.0 4200.0 5.27787565803
6000 8650.40229753 7523.72938449 6226.1542547 168.508539448 4700.0 4300.0 6.28318530718
6500 9244.76068205 8114.87618022 6730.81882079 168.917580691 5100.0 4500.0 6.9115038379
7000 9820.87213444 8648.20369627 7238.76470845 168.029366938 5200.0 4900.0 7.53982236862
7500 10401.3058123 9185.06019768 7742.43240027 168.31977673 5500.0 5000.0 8.41946831162
8000 10976.7502112 9688.58759631 8245.81613966 168.001570296 5700.0 5100.0 9.42477796077
8500 11556.0370572 10203.3735273 8753.01047187 168.151362474 5800.0 5400.0 10.3044239038
9000 12127.9078687 10765.0451866 9257.42754675 168.067372528 6100.0 5600.0 11.0584061406
9500 12703.0539786 11358.2088645 9761.42374519 168.216302651 6500.0 5800.0 11.6867246714
10000 13274.4367165 11918.1603048 10265.5602876 168.059210973 6800.0 6000.0 12.4407069082
