2000 11507.9535615 2322.60612236 2090.78127794 172.381383279 1200.0 1200.0 12.4407069082
2500 10141.8385526 2856.99160505 2597.48219335 174.215974425 1400.0 1400.0 12.4407069082
3000 9410.82472278 3392.80052756 3104.62077214 172.764908195 1600.0 1600.0 12.4407069082
3500 9043.51049953 3929.42926556 3611.82370845 168.873724682 1800.0 1800.0 12.4407069082
4000 8921.71316121 4511.16661411 4130.40934112 177.467368861 2100.0 2100.0 12.4407069082
4500 8935.61486951 5047.92839094 4636.55655887 169.212569996 2300.0 2300.0 12.4407069082
5000 9077.8761216 5629.73543828 5152.92301704 171.723978804 2600.0 2600.0 12.4407069082
5500 9300.91716011 6211.85557825 5667.86453451 171.806482614 2900.0 2900.0 12.4407069082
6000 9584.853944 6794.202049 6181.29947353 170.179151261 3200.0 3200.0 12.4407069082
6500 9945.84996575 7424.08938868 6702.17425675 175.192023714 3600.0 3600.0 12.4407069082
7000 10315.8365789 8007.04351671 7211.87471039 170.810489579 3900.0 3900.0 12.4407069082
7500 10749.8838408 8638.87839276 7727.73421675 172.358910949 4300.0 4300.0 12.4407069082
8000 11211.9682233 9271.91430003 8240.79373734 172.498587708 4700.0 4700.0 12.4407069082
8500 11697.3612991 9905.92150208 8751.18872945 171.59342972 5100.0 5100.0 12.4407069082
9000 12202.2854079 10540.7240161 9259.12991989 169.923607152 5500.0 5500.0 12.4407069082
9500 12766.9305688 11228.8935975 9769.74080802 171.951565713 6000.0 6000.0 12.4407069082
10000 13303.8179819 11865.4558662 10272.9752252 168.971369319 6400.0 6400.0 12.4407069082
