8967.27912511 5629.86639095 5152.32069766 168.589766739 2600.0 2600.0 12.0637157898
9004.13139922 5629.82250119 5152.52525031 169.643302828 2600.0 2600.0 12.1893794959
9040.99713835 5629.77885095 5152.72598858 170.688004398 2600.0 2600.0 12.3150432021
9077.8761216 5629.73543828 5152.92301704 171.723978804 2600.0 2600.0 12.4407069082
8661.03760727 5676.38275617 5160.62815897 168.918634153 2700.0 2700.0 10.9327424345
8697.63297772 5676.33037054 5160.90836521 170.133664138 2700.0 2700.0 11.0584061406
8734.24547723 5676.27827739 5161.18293709 171.338181998 2700.0 2700.0 11.1840698468
8770.8747974 5676.22647428 5161.45204075 172.532318865 2700.0 2700.0 11.3097335529
8807.5206385 5676.1749588 5161.71583588 173.716203776 2700.0 2700.0 11.4353972591
8844.18270913 5676.12372856 5161.9744761 174.88996372 2700.0 2700.0 11.5610609652
8880.86072589 5676.07278121 5162.22810921 176.05372367 2700.0 2700.0 11.6867246714
8917.55441305 5676.02211441 5162.47687744 177.207606626 2700.0 2700.0 11.8123883775
8395.79724651 5724.28513995 5168.34802387 168.493498248 2800.0 2800.0 9.92743278534
8432.10058491 5724.22327539 5168.72603751 169.88112833 2800.0 2800.0 10.0530964915
8468.42557807 5724.16176334 5169.09590201 171.256420633 2800.0 2800.0 10.1787601976
8504.77179831 5724.10060079 5169.45787413 172.619532458 2800.0 2800.0 10.3044239038
8541.1388313 5724.03978478 5169.81220006 173.970618555 2800.0 2800.0 10.4300876099
8577.52627544 5723.97931237 5170.15911601 175.309831179 2800.0 2800.0 10.5557513161
8613.93374129 5723.91918068 5170.49884865 176.637320129 2800.0 2800.0 10.6814150222
8650.36085109 5723.85938684 5170.83161559 177.9532328 2800.0 2800.0 10.8070787283
8207.28714799 5773.45916374 5175.90196273 169.150011609 2900.0 2900.0 9.17345054848
8243.29082898 5773.38729113 5176.39113336 170.704221424 2900.0 2900.0 9.29911425463
8279.32104982 5773.31583418 5176.86920408 172.244344391 2900.0 2900.0 9.42477796077
8315.37724559 5773.24478929 5177.33654166 173.770562613 2900.0 2900.0 9.55044166691
8351.45887036 5773.17415294 5177.79349713 175.283055218 2900.0 2900.0 9.67610537306
8387.56539628 5773.1039216 5178.24040662 176.78199842 2900.0 2900.0 9.8017690792
8022.79936499 5823.99146411 5182.42906011 168.272144443 3000.0 3000.0 8.41946831162
8058.45130043 5823.90835987 5183.06213921 170.009751526 3000.0 3000.0 8.54513201776
8094.13598059 5823.82574348 5183.68008522 171.731311127 3000.0 3000.0 8.67079572391
8129.85265218 5823.74361066 5184.28342244 173.437033357 3000.0 3000.0 8.79645943005
8165.60058916 5823.66195718 5184.87265169 175.127124874 3000.0 3000.0 8.9221231362
8201.37909138 5823.58077888 5185.4482516 176.801788958 3000.0 3000.0 9.04778684234
7913.3557187 5875.67381603 5189.19700343 169.55880856 3100.0 3100.0 7.91681348705
7948.6724627 5875.57928269 5189.97616587 171.461907232 3100.0 3100.0 8.04247719319
7984.02791276 5875.48530936 5190.73614337 173.347245113 3100.0 3100.0 8.16814089933
8019.42113235 5875.39189109 5191.47761735 175.215055894 3100.0 3100.0 8.29380460548
8054.85122026 5875.29902299 5192.20123807 177.065569438 3100.0 3100.0 8.41946831162
7807.28838506 5928.62792174 5194.9969056 169.78026333 3200.0 3200.0 7.41415866247
7842.22627114 5928.52085845 5195.95244354 171.860180246 3200.0 3200.0 7.53982236862
7877.20994384 5928.41443515 5196.88377598 173.920491971 3200.0 3200.0 7.66548607476
7912.23824061 5928.30864614 5197.79178223 175.961457479 3200.0 3200.0 7.7911497809
7947.3100443 5928.20348578 5198.67730079 177.983331516 3200.0 3200.0 7.91681348705
7704.88042957 5982.83144163 5199.60871626 168.858209482 3300.0 3300.0 6.9115038379
7739.38980507 5982.71068529 5200.77628899 171.126770945 3300.0 3300.0 7.03716754404
7773.95335551 5982.5906573 5201.91348435 173.373747241 3300.0 3300.0 7.16283125018
7808.56964221 5982.47135111 5203.02142761 175.599424304 3300.0 3300.0 7.28849495633
7843.23728445 5982.35276026 5204.10119121 177.804083427 3300.0 3300.0 7.41415866247
7640.46571644 6038.12733912 5204.20848632 169.184018631 3400.0 3400.0 6.53451271947
7674.5544554 6037.99248892 5205.59178458 171.629840676 3400.0 3400.0 6.66017642561
7708.70548983 6037.85845688 5206.93861761 174.052272785 3400.0 3400.0 6.78584013175
7579.33427459 6094.59942799 5207.66138275 168.611871102 3500.0 3500.0 6.15752160104
7742.91712149 6037.72523561 5208.25034376 176.451624408 3400.0 3400.0 6.9115038379
7612.96024926 6094.44939812 5209.29202212 171.243579013 3500.0 3500.0 6.28318530718
7646.65763417 6094.30028379 5210.87921842 173.850004848 3500.0 3500.0 6.40884901332
7554.78938492 6152.05826271 5211.72057348 169.923670143 3600.0 3600.0 5.90619418875
7680.42444094 6094.15207667 5212.42459265 176.43148234 3500.0 3500.0 6.53451271947
7587.98924508 6151.89294967 5213.58141085 172.722751416 3600.0 3600.0 6.03185789489
7532.88163482 6210.61404968 5214.88862596 170.627954272 3700.0 3700.0 5.65486677646
7666.89459304 6917.58138333 5215.35203786 168.857857849 4800.0 4800.0 3.76991118431
7621.26834202 6151.72864809 5215.3928234 175.494931132 3600.0 3600.0 6.15752160104
7764.52987963 7056.57309404 5215.51672839 171.437805274 5000.0 5000.0 3.64424747816
7565.62777322 6210.43250795 5217.00066079 173.599518292 3700.0 3700.0 5.78053048261
7513.68070057 6270.24199335 5217.09381183 170.704476229 3800.0 3800.0 5.40353936417
